Stock Name,Day_Change_Percent,Previous_Close,Current_Price,Day_Low,Day_High,Low_52W,High_52W,Percent_Below_High,Suggestion,Market_Cap_Cr,Market_Cap,Industry,Stock_Name,Stock_Symbol,RSI,From_52W_High,Divergence_Signal
AARTI INDUSTRIES LTD (XNSE:AARTIIND),-0.87,379.7,376.4,375.55,382.8,344.2,495.0,23.96,FIRST MC BUY,13648,,Chemicals,,,,,
AARTI PHARMALABS LIMITED (XNSE:AARTIPHARM),-2.28,759.8,742.5,740.6,759.8,559.9,971.0,23.53,WATCH,6887,,Pharmaceuticals,,,,,
ABB India Limited (XNSE:ABB),-0.61,5215.0,5183.0,5164.5,5244.5,4684.45,7056.0,26.54,SURE LC BUY,109832,,"Machinery, Equipment & Components",,,,,
ADANI ENTERPRISES LIMITED (XNSE:ADANIENT),0.32,2222.7,2229.9,2218.0,2250.9,1964.71,2612.76,14.65,LC BUY,275121,,Diversified Industrial Goods Wholesale,,,,,
ADANI GREEN ENERGY LIMITED (XNSE:ADANIGREEN),0.31,1015.0,1018.1,1011.5,1027.0,758.0,1177.55,13.54,LC BUY,167188,,Electrical Utilities & IPPs,,,,,
Affle 3i Limited (XNSE:AFFLE),0.07,1780.6,1781.9,1748.0,1786.2,1246.0,2185.9,18.48,WATCH,25046,,Media & Publishing,,,,,
ANUPAM RASAYAN INDIA LIMITED (XNSE:ANURAS),-0.02,1321.0,1320.8,1308.6,1329.2,601.0,1346.0,1.87,WATCH,15037,,Chemicals,,,,,
AMARA RAJA ENERGY & MOBILITY LIMITED (XNSE:ARE&M),-0.53,925.35,920.4,919.1,927.5,832.3,1242.0,25.89,FIRST MC BUY,16936,,"Machinery, Equipment & Components",,,,,
ASHOKA BUILDCON LIMITED (XNSE:ASHOKA),-1.03,172.19,170.41,170.07,173.39,159.23,319.0,46.58,WATCH,4834,,Construction & Engineering,,,,,
ASIAN PAINTS LIMITED (XNSE:ASIANPAINT),-1.4,2785.5,2746.5,2743.0,2794.4,2124.75,2985.7,8.01,WATCH,263274,,Chemicals,,,,,
ASTRAL LIMITED (XNSE:ASTRAL),-0.47,1396.6,1390.0,1386.0,1399.9,1232.3,1747.95,20.48,FIRST MC BUY,37520,,Homebuilding & Construction Supplies,,,,,
ATUL LIMITED (XNSE:ATUL),-0.11,6055.0,6048.5,6010.0,6095.0,4752.0,7788.0,22.34,FIRST MC BUY,17827,,Chemicals,,,,,
AU SMALL FINANCE BANK LIMITED (XNSE:AUBANK),0.09,974.05,974.95,970.0,982.0,478.35,1007.25,3.21,WATCH,72755,,Banking Services,,,,,
AUROBINDO PHARMA LTD (XNSE:AUROPHARMA),-0.43,1211.4,1206.2,1203.8,1220.9,1010.0,1356.2,11.06,WATCH,70358,,Pharmaceuticals,,,,,
AWL AGRI BUSINESS LIMITED (XNSE:AWL),0.0,236.95,236.95,235.5,237.75,231.55,337.05,29.7,FIRST MC BUY,30692,,Food & Tobacco,,,,,
BAJAJ AUTO LIMITED. (XNSE:BAJAJ-AUTO),-1.15,9170.0,9064.5,9052.0,9185.5,7089.35,9490.0,4.48,WATCH,256267,,Automobiles & Auto Parts,,,,,
BAJAJ FINANCE LIMITED (XNSE:BAJFINANCE),-1.16,1011.7,1000.0,998.0,1011.7,678.28,1102.5,9.3,FIRST HLC BUY,628785,,Banking Services,,,,,
BALAJI AMINES LIMITED (XNSE:BALAMINES),-0.21,1125.7,1123.3,1120.0,1135.0,1079.0,1988.0,43.5,WATCH,3640,,Chemicals,,,,,
BHARAT DYNAMICS LIMITED (XNSE:BDL),-0.22,1481.2,1477.9,1474.0,1517.7,907.0,2096.6,29.51,HMC BUY,54295,,Aerospace & Defense,,,,,
BEML LIMITED (XNSE:BEML),0.49,1867.9,1877.0,1867.7,1926.7,1175.0,2437.4,22.99,FIRST MC BUY,15633,,"Machinery, Equipment & Components",,,,,
BERGER PAINTS INDIA LIMITED (XNSE:BERGEPAINT),-2.36,555.15,542.05,540.0,558.55,437.75,605.0,10.4,WATCH,64725,,Chemicals,,,,,
BHARAT FORGE LTD (XNSE:BHARATFORG),-0.46,1450.5,1443.8,1438.0,1460.0,919.1,1470.6,1.82,WATCH,69347,,Metals & Mining,,,,,
Bharti Airtel Limited (XNSE:BHARTIARTL),-0.86,2123.7,2105.4,2101.8,2123.0,1559.5,2174.5,3.18,WATCH,1277086,,Telecommunications Services,,,,,
BHARAT HEAVY ELECTRICALS LIMITED (XNSE:BHEL),1.19,278.2,281.5,277.05,285.6,176.0,295.25,4.66,WATCH,98020,,"Machinery, Equipment & Components",,,,,
BSE Limited (XNSE:BSE),-0.82,2670.9,2649.0,2636.0,2689.3,1226.49,3030.0,12.57,LC BUY,108786,,Investment Banking & Investment Services,,,,,
CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED (XNSE:CDSL),-1.08,1498.9,1482.7,1476.9,1506.4,1047.45,1888.0,21.47,FIRST MC BUY,31327,,Investment Banking & Investment Services,,,,,
COAL INDIA LTD (XNSE:COALINDIA),-0.05,402.35,402.15,400.6,408.4,349.25,417.25,3.62,WATCH,247834,,Coal,,,,,
COCHIN SHIPYARD LIMITED (XNSE:COCHINSHIP),0.17,1649.3,1652.1,1646.0,1697.0,1180.2,2545.0,35.08,SURE HMC BUY,43390,,"Machinery, Equipment & Components",,,,,
COLGATE-PALMOLIVE (INDIA) LIMITED (XNSE:COLPAL),-0.28,2093.3,2087.4,2082.0,2114.9,2064.0,2975.0,29.84,HMC BUY,56935,,Personal & Household Products & Services,,,,,
CONTAINER CORPORATION OF INDIA LIMITED (XNSE:CONCOR),2.3,508.6,520.3,507.85,523.0,481.0,652.04,20.2,FIRST MC BUY,38736,,Freight & Logistics Services,,,,,
DATA PATTERNS (INDIA) LIMITED (XNSE:DATAPATTNS),0.21,2672.3,2677.8,2651.0,2747.8,1351.15,3268.8,18.08,WATCH,14991,,Stock,,,,,
DEEPAK NITRITE LIMITED (XNSE:DEEPAKNTR),1.42,1740.5,1765.2,1720.4,1769.9,1514.0,2632.6,32.95,MC BUY,23739,,Chemicals,,,,,
DIVI'S LABORATORIES LIMITED (XNSE:DIVISLAB),-1.06,6496.5,6427.5,6402.0,6547.0,4955.0,7071.5,9.11,WATCH,172462,,Pharmaceuticals,,,,,
DIXON TECHNOLOGIES (INDIA) LIMITED (XNSE:DIXON),-2.38,12629.0,12328.0,12250.0,12711.0,12130.0,18700.0,34.07,SURE HMC BUY,76640,,"Computers, Phones & Household Electronics",,,,,
AVENUE SUPERMARTS LIMITED (XNSE:DMART),-0.34,3800.2,3787.4,3781.2,3824.0,3340.0,4949.5,23.48,SURE LC BUY,247292,,Food & Drug Retailing,,,,,
DR.REDDY'S LABORATORIES LTD (XNSE:DRREDDY),0.28,1265.8,1269.3,1261.1,1275.0,1020.0,1405.9,9.72,WATCH,105382,,Pharmaceuticals,,,,,
ENDURANCE TECHNOLOGIES LIMITED (XNSE:ENDURANCE),-1.25,2582.1,2549.8,2541.0,2599.9,1675.0,3079.9,17.21,WATCH,36321,,Automobiles & Auto Parts,,,,,
SIEMENS ENERGY INDIA LIMITED (XNSE:ENRIN),1.14,2595.5,2625.1,2598.9,2644.0,2508.8,3625.0,27.58,HMC BUY,92431,,Electrical Utilities & IPPs,,,,,
ETERNAL LIMITED (XNSE:ETERNAL),-1.09,284.85,281.75,279.7,284.65,194.8,368.45,23.53,SURE LC BUY,256361,,Software & IT Services,,,,,
EXIDE INDUSTRIES LIMITED (XNSE:EXIDEIND),-0.54,367.15,365.15,364.35,369.75,328.0,431.6,15.4,WATCH,31208,,Automobiles & Auto Parts,,,,,
