Symbol,name,sector,yahoo_symbol
360ONE,360 ONE WAM Ltd.,Financial Services,360ONE.NS
3MINDIA,3M India Ltd.,Diversified,3MINDIA.NS
ABB,ABB India Ltd.,Capital Goods,ABB.NS
ACC,ACC Ltd.,Construction Materials,ACC.NS
ACMESOLAR,ACME Solar Holdings Ltd.,Power,ACMESOLAR.NS
AIAENG,AIA Engineering Ltd.,Capital Goods,AIAENG.NS
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS
AUBANK,AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL.NS
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC.NS
AARTIIND,Aarti Industries Ltd.,Chemicals,AARTIIND.NS
AAVAS,Aavas Financiers Ltd.,Financial Services,AAVAS.NS
ABBOTINDIA,Abbott India Ltd.,Healthcare,ABBOTINDIA.NS
ACE,Action Construction Equipment Ltd.,Capital Goods,ACE.NS
ADANIENSOL,Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS
ADANIGREEN,Adani Green Energy Ltd.,Power,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS
ADANIPOWER,Adani Power Ltd.,Power,ADANIPOWER.NS
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL.NS
ABREL,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL.NS
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC.NS
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG.NS
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK.NS
AFCONS,Afcons Infrastructure Ltd.,Construction,AFCONS.NS
AFFLE,Affle 3i Ltd.,Information Technology,AFFLE.NS
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS.NS
AKZOINDIA,Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA.NS
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS
ALKEM,Alkem Laboratories Ltd.,Healthcare,ALKEM.NS
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS
ALOKINDS,Alok Industries Ltd.,Textiles,ALOKINDS.NS
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS
AMBER,Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS
ANANTRAJ,Anant Raj Ltd.,Realty,ANANTRAJ.NS
ANGELONE,Angel One Ltd.,Financial Services,ANGELONE.NS
APARINDS,Apar Industries Ltd.,Capital Goods,APARINDS.NS
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN.NS
ASTRAL,Astral Ltd.,Capital Goods,ASTRAL.NS
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG.NS
ATUL,Atul Ltd.,Chemicals,ATUL.NS
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,AIIL.NS
DMART,Avenue Supermarts Ltd.,Consumer Services,DMART.NS
AXISBANK,Axis Bank Ltd.,Financial Services,AXISBANK.NS
BASF,BASF India Ltd.,Chemicals,BASF.NS
BEML,BEML Ltd.,Capital Goods,BEML.NS
BLS,BLS International Services Ltd.,Consumer Services,BLS.NS
