symbol,rev_growth_score,pat_growth_score,roe_score,de_score,promoter_score,pe,pb,roe_pct,de_ratio,rev_growth_pct,pat_growth_pct,promoter_pct,eps,book_value,market_cap,last_updated,source
360ONE,5,5,2,2,2,38.15,4.59,12.02,0.0,-1.17,-1.17,0.0,29.15,242.53,452053729280.0,2026-05-27,yfinance
3MINDIA,5,5,6,2,2,71.7,21.27,29.66,0.0,0.38,0.38,0.0,463.4,1562.35,374281961472.0,2026-05-27,yfinance
AAVAS,3,3,2,2,2,16.65,2.15,12.89,0.0,-1.74,-1.74,0.0,82.2,637.79,108544974848.0,2026-05-27,yfinance
ABB,7,6,4,3,3,98.24,19.52,19.87,0.1,6.1,6.1,75.0,73.48,369.78,1529766477824.0,2026-05-27,yfinance
ABBOTINDIA,3,3,6,2,2,37.91,12.34,32.57,0.0,0.45,0.45,0.0,731.67,2246.68,589349388288.0,2026-05-27,yfinance
ACC,3,3,2,2,2,12.56,1.3,10.38,0.0,0.99,0.99,0.0,113.57,1094.59,267897307136.0,2026-05-27,yfinance
ACE,3,3,5,2,2,25.97,5.36,20.65,0.0,1.27,1.27,0.0,34.9,168.99,107861950464.0,2026-05-27,yfinance
ACI,3,3,1,2,2,61.75,3.28,5.31,0.0,-0.61,-0.61,0.0,8.65,162.89,65945305088.0,2026-05-27,yfinance
ADANIENSOL,7,6,1,2,2,82.89,7.28,8.78,0.0,5.25,5.25,0.0,18.58,211.59,1850095435776.0,2026-05-27,yfinance
ADANIENT,7,6,2,2,2,40.37,4.74,11.74,0.0,0.13,0.13,0.0,73.64,626.99,4075954372608.0,2026-05-27,yfinance
ADANIGREEN,7,6,1,2,2,154.88,13.16,8.5,0.0,2.23,2.23,0.0,9.62,113.21,2454127902720.0,2026-05-27,yfinance
ADANIPORTS,7,6,2,2,2,31.38,4.37,13.93,0.0,0.73,0.73,0.0,58.14,417.25,4203573149696.0,2026-05-27,yfinance
ADANIPOWER,7,6,4,2,2,37.54,7.4,19.72,0.0,1.79,1.79,0.0,6.63,33.62,4800153387008.0,2026-05-27,yfinance
AEGISLOG,3,3,2,2,2,32.53,4.22,12.96,0.0,-0.15,-0.15,0.0,21.95,169.35,250614005760.0,2026-05-27,yfinance
AETHER,6,6,1,2,2,66.07,5.91,8.95,0.0,-0.26,-0.26,0.0,16.57,185.1,145276420096.0,2026-05-27,yfinance
AJANTPHARM,6,6,5,2,2,35.73,8.34,23.33,0.0,-2.46,-2.46,0.0,84.55,362.4,377405538304.0,2026-05-27,yfinance
ALKYLAMINE,3,3,2,2,2,48.16,5.64,11.72,0.0,-2.22,-2.22,0.0,35.13,299.78,86535733248.0,2026-05-27,yfinance
ALLCARGO,2,2,1,2,2,228.5,2.45,1.07,0.0,0.55,0.55,0.0,0.04,3.73,13689695232.0,2026-05-27,yfinance
ALOKINDS,2,2,3,2,2,0.0,-0.3,0.0,0.0,1.66,1.66,0.0,-1.5,-43.61,63952293888.0,2026-05-27,yfinance
AMBER,5,5,1,2,2,148.98,6.05,4.06,0.0,2.79,2.79,0.0,50.45,1242.28,264711782400.0,2026-05-27,yfinance
AMBUJACEM,3,3,1,2,2,24.11,1.91,7.94,0.0,2.23,2.23,0.0,19.07,240.09,1142394716160.0,2026-05-27,yfinance
ANANDRATHI,7,6,6,2,2,75.9,29.67,39.08,0.0,-0.57,-0.57,0.0,46.99,120.23,296109670400.0,2026-05-27,yfinance
ANGELONE,7,6,2,2,2,34.21,5.02,14.67,0.0,-2.18,-2.18,0.0,9.85,67.17,307298009088.0,2026-05-27,yfinance
APARINDS,7,6,5,2,2,55.49,11.11,20.03,0.0,7.1,7.1,0.0,241.94,1208.02,539299807232.0,2026-05-27,yfinance
APLLTD,3,3,2,2,2,21.97,2.61,11.89,0.0,-0.71,-0.71,0.0,34.33,288.64,148247904256.0,2026-05-27,yfinance
APOLLOHOSP,7,6,5,2,1,61.08,12.54,20.54,0.8,0.17,0.17,29.3,135.44,659.47,1189458608128.0,2026-05-27,yfinance
APTUS,5,5,4,2,2,13.94,2.6,18.61,0.0,0.96,0.96,0.0,18.84,101.22,131545120768.0,2026-05-27,yfinance
ARE&M,5,5,2,2,2,18.52,2.14,11.57,0.0,1.87,1.87,0.0,48.91,422.83,165811830784.0,2026-05-27,yfinance
ASAHIINDIA,5,5,1,2,2,75.73,6.32,8.35,0.0,3.02,3.02,0.0,12.13,145.28,234163372032.0,2026-05-27,yfinance
ASHOKLEY,5,5,6,2,2,29.06,7.62,26.21,0.0,1.92,1.92,0.0,5.63,21.48,961080066048.0,2026-05-27,yfinance
ASIANPAINT,6,6,4,3,3,66.42,13.08,19.69,0.1,0.94,0.94,52.6,40.23,204.34,2561401683968.0,2026-05-27,yfinance
ASTERDM,7,6,1,2,2,116.55,8.35,7.16,0.0,-2.16,-2.16,0.0,6.36,88.8,383179227136.0,2026-05-27,yfinance
ASTRAZEN,3,3,6,2,2,107.22,27.06,25.24,0.0,-3.51,-3.51,0.0,80.66,319.63,216200003584.0,2026-05-27,yfinance
ATGL,7,6,2,2,2,134.98,18.29,13.55,0.0,13.39,13.39,0.0,5.99,44.22,889251430400.0,2026-05-27,yfinance
AVANTIFEED,6,6,6,2,2,22.98,5.87,25.55,0.0,-3.02,-3.02,0.0,56.46,220.94,176765091840.0,2026-05-27,yfinance
AWL,2,2,1,2,2,24.03,2.39,9.96,0.0,0.21,0.21,0.0,8.05,80.79,250294140928.0,2026-05-27,yfinance
AXISBANK,6,6,2,1,0,15.44,1.88,12.2,1.1,0.37,0.37,8.4,84.45,692.12,4055235559424.0,2026-05-27,yfinance
BAJAJAUTO,3,3,3,3,3,0.0,0.0,0.0,0.1,2.03,2.03,55.2,0.0,0.0,0.0,2026-05-27,AO-FULL-quote
BAJAJFINSV,3,3,2,2,3,29.64,3.71,12.51,0.4,0.47,0.47,60.6,61.04,487.99,2891861196800.0,2026-05-27,yfinance
BAJAJHLDNG,3,3,2,2,2,12.19,1.61,13.17,0.0,-1.39,-1.39,0.0,866.03,6573.61,1174814326784.0,2026-05-27,yfinance
BAJFINANCE,5,5,4,0,3,30.52,5.08,16.64,1.8,0.1,0.1,54.7,30.51,183.37,5789775822848.0,2026-05-27,yfinance
BALRAMCHIN,5,5,1,2,2,28.52,2.59,9.07,0.0,0.1,0.1,0.0,18.59,204.87,107074117632.0,2026-05-27,yfinance
BANDHANBNK,7,6,1,2,2,27.08,1.29,4.78,0.0,2.71,2.71,0.0,7.6,158.96,331595841536.0,2026-05-27,yfinance
BANKBARODA,5,5,2,1,3,7.06,0.84,11.97,1.2,0.15,0.15,63.2,38.39,320.83,1401180651520.0,2026-05-27,yfinance
BANKINDIA,5,5,2,2,2,6.18,0.74,12.04,0.0,1.39,1.39,0.0,23.78,197.53,669242163200.0,2026-05-27,yfinance
BAYERCROP,2,2,5,2,2,30.07,6.64,22.08,0.0,2.56,2.56,0.0,153.48,695.07,207443705856.0,2026-05-27,yfinance
BBTC,3,3,4,2,2,8.62,1.52,17.65,0.0,0.22,0.22,0.0,178.16,1009.28,107211505664.0,2026-05-27,yfinance
BEL,5,5,6,3,3,50.62,12.77,25.23,0.1,-0.24,-0.24,51.1,8.28,32.82,3063528292352.0,2026-05-27,yfinance
BERGEPAINT,6,6,4,2,2,54.66,8.89,16.26,0.0,2.21,2.21,0.0,9.64,59.29,614425165824.0,2026-05-27,yfinance
BHARTIARTL,3,3,4,1,3,41.78,7.26,17.39,1.4,0.29,0.29,55.9,44.33,254.97,11282624282624.0,2026-05-27,yfinance
BHEL,7,6,1,2,2,91.82,5.62,6.12,0.0,1.1,1.1,0.0,4.6,75.17,1470649466880.0,2026-05-27,yfinance
BIKAJI,3,3,4,2,2,61.98,9.95,16.05,0.0,-0.17,-0.17,0.0,10.29,64.1,159919669248.0,2026-05-27,yfinance
BIOCON,7,6,1,2,2,152.72,2.02,1.33,0.0,-0.91,-0.91,0.0,2.83,213.54,699875000320.0,2026-05-27,yfinance
BIRLACORPN,3,3,1,2,2,13.9,1.05,7.57,0.0,0.47,0.47,0.0,72.42,956.38,77502029824.0,2026-05-27,yfinance
BLS,3,3,6,2,2,15.92,4.42,27.8,0.0,-0.19,-0.19,0.0,16.64,59.86,109036380160.0,2026-05-27,yfinance
BLUESTARCO,3,3,4,2,2,64.73,9.92,15.33,0.0,0.99,0.99,0.0,25.6,167.0,340687552512.0,2026-05-27,yfinance
BORORENEW,3,3,2,2,2,53.54,6.05,11.3,0.0,-0.37,-0.37,0.0,9.48,83.87,71207747584.0,2026-05-27,yfinance
