symbol,name,sector,cap,angel_token
360ONE,360 ONE WAM Ltd.,Financial Services,Large,19957
3MINDIA,3M India Ltd.,Engineering,Large,3714
AAVAS,Aavas Financiers Ltd.,Financial Services,Large,542137
ABB,ABB India,Engineering,Large,13
ABBOTINDIA,Abbott India Ltd.,Healthcare,Large,3013
ACC,ACC Ltd.,Building Materials,Large,22
ACE,Action Construction Equipment Ltd.,Engineering,Large,13161
ACI,Archean Chemical Industries Ltd.,Chemicals,Large,543390
ADANIENSOL,Adani Energy Solutions Ltd.,Energy,Large,543612
ADANIENT,Adani Enterprises,Energy,Large,25
ADANIGREEN,Adani Green Energy,Energy,Large,542069
ADANIPORTS,Adani Ports,Logistics,Large,500290
ADANIPOWER,Adani Power Ltd.,Energy,Large,533096
AEGISLOG,Aegis Logistics Ltd.,Energy,Large,526558
AETHER,Aether Industries Ltd.,Chemicals,Large,543154
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,Large,572
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,Large,506767
ALLCARGO,Allcargo Logistics Ltd.,Logistics,Large,532749
ALOKINDS,Alok Industries Ltd.,Retail,Large,521070
AMBER,Amber Enterprises India Ltd.,Engineering,Large,540902
AMBUJACEM,Ambuja Cements Ltd.,Building Materials,Large,1270
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,Large,543756
ANGELONE,Angel One Ltd.,Financial Services,Large,543235
APARINDS,Apar Industries Ltd.,Engineering,Large,532259
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,Large,500372
APOLLOHOSP,Apollo Hospitals,Healthcare,Large,157
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,Large,543335
ARE&M,Amara Raja Energy & Mobility Ltd.,Auto,Large,531162
ASAHIINDIA,Asahi India Glass Ltd.,Auto,Large,541006
ASHOKLEY,Ashok Leyland Ltd.,Engineering,Large,877
ASIANPAINT,Asian Paints,Building Materials,Large,236
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,Large,540975
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare,Large,500674
ATGL,Adani Total Gas Ltd.,Energy,Large,543529
AVANTIFEED,Avanti Feeds Ltd.,FMCG,Large,534486
AWL,Adani Wilmar Ltd.,FMCG,Large,543414
AXISBANK,Axis Bank,Financial Services,Large,5900
BAJAJAUTO,Bajaj Auto,Auto,Large,16669
BAJAJFINSV,Bajaj Finserv,Financial Services,Large,16675
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,Large,317
BAJFINANCE,Bajaj Finance,Financial Services,Large,317
BALRAMCHIN,Balrampur Chini Mills Ltd.,FMCG,Large,3153
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,Large,541153
BANKBARODA,Bank of Baroda,Financial Services,Large,1452
BANKINDIA,Bank of India,Financial Services,Large,532149
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,Large,3780
BBTC,Bombay Burmah Trading Corporation Ltd.,FMCG,Large,506390
BEL,Bharat Electronics,Defence,Large,383
BERGEPAINT,Berger Paints,Building Materials,Large,404
BHARTIARTL,Bharti Airtel,Telecom,Large,10604
BHEL,BHEL,Engineering,Large,438
BIKAJI,Bikaji Foods International Ltd.,FMCG,Large,543520
BIOCON,Biocon Ltd.,Healthcare,Large,532523
BIRLACORPN,Birla Corporation Ltd.,Building Materials,Large,3285
BLS,BLS International Services Ltd.,Retail,Large,540073
BLUESTARCO,Blue Star Ltd.,Engineering,Large,3410
BORORENEW,Borosil Renewables Ltd.,Engineering,Large,543724
BOSCHLTD,Bosch Ltd.,Auto,Large,3413
BPCL,Bharat Petroleum,Energy,Large,526
BRITANNIA,Britannia Industries,FMCG,Large,547
CANBK,Canara Bank,Financial Services,Large,10794
CANFINHOME,Can Fin Homes Ltd.,Financial Services,Large,3253
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,Large,531399
CARBORUNIV,Carborundum Universal Ltd.,Engineering,Large,513375
CASTROLIND,Castrol India Ltd.,Energy,Large,500870
CCL,CCL Products (I) Ltd.,FMCG,Large,517326
CGCL,Capri Global Capital Ltd.,Financial Services,Large,542290
CIEINDIA,CIE Automotive India Ltd.,Auto,Large,532792
CIPLA,Cipla,Healthcare,Large,694
COALINDIA,Coal India,Energy,Large,1579
COLPAL,Colgate-Palmolive,FMCG,Large,739
CONCOR,Container Corporation,Logistics,Large,723
CRISIL,CRISIL Ltd.,Financial Services,Large,500092
CSBBANK,CSB Bank Ltd.,Financial Services,Large,542867
DABUR,Dabur India,FMCG,Large,772
DIVISLAB,Divi's Laboratories,Healthcare,Large,10940
DLF,DLF,Real Estate,Large,14732
DMART,Avenue Supermarts,Retail,Large,543305
DRREDDY,Dr. Reddy's Laboratories,Healthcare,Large,881
EICHERMOT,Eicher Motors,Auto,Large,910
ETERNAL,Eternal (Zomato),New Age Tech,Large,543449
GODREJCP,Godrej Consumer Products,FMCG,Large,10099
GODREJPROP,Godrej Properties,Real Estate,Large,533150
GRASIM,Grasim Industries,Metals,Large,1232
HAL,Hindustan Aeronautics,Defence,Large,2303
HAVELLS,Havells India,Engineering,Large,1225
HCLTECH,HCL Technologies,IT,Large,7229
HDFCBANK,HDFC Bank,Financial Services,Large,1333
HDFCLIFE,HDFC Life Insurance,Financial Services,Large,467
HEROMOTOCO,Hero MotoCorp,Auto,Large,1348
HINDALCO,Hindalco Industries,Metals,Large,1363
HINDUNILVR,Hindustan Unilever,FMCG,Large,1394
ICICIBANK,ICICI Bank,Financial Services,Large,4963
ICICIPRULI,ICICI Prudential Life,Financial Services,Large,18652
INDIGO,InterGlobe Aviation,Aviation,Large,11195
INDUSINDBK,IndusInd Bank,Financial Services,Large,5258
INDUSTOWER,Indus Towers,Telecom,Large,534816
INFY,Infosys,IT,Large,1594
IOC,Indian Oil Corporation,Energy,Large,1624
ITC,ITC,FMCG,Large,1660
JIOFIN,Jio Financial Services,Financial Services,Large,543708
JSWSTEEL,JSW Steel,Metals,Large,11723
KOTAKBANK,Kotak Mahindra Bank,Financial Services,Large,1922
LICI,LIC of India,Financial Services,Large,543328
LODHA,Macrotech Developers,Real Estate,Large,543543
LT,Larsen & Toubro,Engineering,Large,11483
LTIM,LTIMindtree,IT,Large,17818
LUPIN,Lupin,Healthcare,Large,10440
M&M,Mahindra & Mahindra,Auto,Large,2031
MAHABANK,Bank of Maharashtra,Financial Services,Large,532525
MARICO,Marico,FMCG,Large,4067
MARUTI,Maruti Suzuki,Auto,Large,10999
MOTHERSON,Samvardhana Motherson,Auto,Large,4204
NAUKRI,Info Edge India,New Age Tech,Large,535048
NESTLEIND,Nestle India,FMCG,Large,17963
NTPC,NTPC,Energy,Large,11630
ONGC,Oil & Natural Gas Corp,Energy,Large,2475
PFC,Power Finance Corporation,Financial Services,Large,11090
PIDILITIND,Pidilite Industries,Chemicals,Large,2664
POWERGRID,Power Grid Corporation,Energy,Large,14977
RELIANCE,Reliance Industries,Energy,Large,2885
SBILIFE,SBI Life Insurance,Financial Services,Large,21808
SBIN,State Bank of India,Financial Services,Large,3045
SHRIRAMFIN,Shriram Finance,Financial Services,Large,3721
SIEMENS,Siemens India,Engineering,Large,3150
SUNPHARMA,Sun Pharmaceutical,Healthcare,Large,3351
TATACHEM,Tata Chemicals,Chemicals,Large,3474
TATACONSUM,Tata Consumer Products,FMCG,Large,3720
TATAMOTORS,Tata Motors,Auto,Large,3456
TATASTEEL,Tata Steel,Metals,Large,3499
TCS,Tata Consultancy Services,IT,Large,11536
TECHM,Tech Mahindra,IT,Large,13538
TITAN,Titan Company,Retail,Large,3506
TRENT,Trent,Retail,Large,1964
ULTRACEMCO,UltraTech Cement,Building Materials,Large,11532
VEDL,Vedanta,Metals,Large,3063
WIPRO,Wipro,IT,Large,3787
AARTIIND,Aarti Industries,Chemicals,Mid,7
ABCAPITAL,Aditya Birla Capital,Financial Services,Mid,542950
ABFRL,Aditya Birla Fashion,Retail,Mid,536444
ABREL,Aditya Birla Real Estate Ltd.,Building Materials,Mid,543446
AFFLE,Affle India,IT,Mid,535755
AIAENG,AIA Engineering,Engineering,Mid,1067
ALIVUS,Glenmark Life Sciences Ltd. REBRANDED AS ALIVUS,Healthcare,Mid,543481
ALKEM,Alkem Laboratories,Healthcare,Mid,539523
APLAPOLLO,APL Apollo Tubes,Metals,Mid,19501
APOLLOTYRE,Apollo Tyres,Auto,Mid,275
ASTRAL,Astral,Engineering,Mid,14418
ATUL,Atul,Chemicals,Mid,323
AUBANK,AU Small Finance Bank,Financial Services,Mid,2029
AUROPHARMA,Aurobindo Pharma,Healthcare,Mid,275
BALKRISIND,Balkrishna Industries,Auto,Mid,335
BATAINDIA,Bata India,Retail,Mid,500043
BDL,Bharat Dynamics,Defence,Mid,541272
BEML,BEML,Defence,Mid,390
BHARATFORG,Bharat Forge,Auto,Mid,1562
BSE,BSE Limited,Financial Services,Mid,543066
CAMS,Computer Age Management Services Ltd.,Financial Services,Mid,543232
CDSL,CDSL,Financial Services,Mid,543400
CELLO,Cello World Ltd.,Engineering,Mid,544067
CENTRALBK,Central Bank of India,Financial Services,Mid,532885
CERA,Cera Sanitaryware Ltd,Retail,Mid,532443
CGPOWER,CG Power,Engineering,Mid,534816
CHALET,Chalet Hotels Ltd.,Retail,Mid,542399
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Mid,500085
CHEMPLASTS,Chemplast Sanmar Ltd.,Chemicals,Mid,543336
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Energy,Mid,500110
CHOLAFIN,Cholamandalam Finance,Financial Services,Mid,2403
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,Mid,543300
COCHINSHIP,Cochin Shipyard,Defence,Mid,542279
COFORGE,Coforge,IT,Mid,7597
CONCORDBIO,Concord Biotech Ltd.,Healthcare,Mid,543298
COROMANDEL,Coromandel International Ltd.,Chemicals,Mid,506395
CRAFTSMAN,Craftsman Automation Ltd.,Auto,Mid,542969
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,Mid,541457
